Date,Open,High,Low,Close,Adj Close,Volume,
02/25/2019,163.07,166.24,160.41,162.28,161.52,67430700,
02/18/2019,160.50,164.15,159.59,161.89,161.13,57582400,
02/11/2019,167.90,168.34,160.86,162.50,161.74,71568200,
02/04/2019,165.70,172.47,163.62,167.33,166.55,85953200,
01/28/2019,148.05,171.68,143.43,165.71,164.93,185793900,
01/21/2019,149.20,151.53,142.52,149.01,148.31,85669800,
01/14/2019,142.00,152.43,141.27,150.04,149.34,109432500,
01/07/2019,137.56,145.36,135.91,143.80,143.13,97592000,
12/31/2018,134.45,138.00,128.56,137.95,137.30,104491500,
12/24/2018,123.10,135.92,123.02,133.20,132.58,115619500,
12/17/2018,143.08,145.93,123.42,124.95,124.36,203647400,
12/10/2018,139.60,147.19,139.01,144.06,143.38,110353800,
12/03/2018,143.00,143.68,133.67,137.42,136.78,104540200,
11/26/2018,133.00,140.97,131.85,140.61,139.95,124832700,
11/19/2018,137.61,137.75,126.85,131.73,131.11,123658000,
11/12/2018,144.48,145.58,137.77,139.53,138.88,123323100,
11/05/2018,150.10,153.01,144.07,144.96,144.28,95988400,
10/29/2018,148.50,156.40,139.03,150.35,149.64,192315900,
10/22/2018,154.76,157.34,143.80,145.37,144.69,115673300,
10/15/2018,153.32,160.49,152.55,154.05,153.33,93642000,
10/08/2018,155.54,160.59,149.16,153.74,153.02,134132800,
10/01/2018,163.03,165.88,156.20,157.33,156.59,137031800,
09/24/2018,161.03,171.77,160.88,164.46,163.69,133630300,
09/17/2018,161.92,167.25,158.87,162.93,162.17,128030300,
09/10/2018,163.51,167.19,160.34,162.32,161.56,111957100,
09/03/2018,173.50,173.89,160.00,163.04,162.28,126851100,
08/27/2018,175.99,179.79,174.75,175.73,174.91,94608400,
08/20/2018,174.04,175.55,170.91,174.65,173.83,90675800,
08/13/2018,180.10,182.61,172.04,173.80,172.98,125790500,
08/06/2018,178.97,188.30,178.38,180.26,179.41,146552500,
07/30/2018,175.30,178.85,166.56,177.78,176.95,196842800,
07/23/2018,210.58,218.62,173.00,174.89,174.07,334032300,
07/16/2018,207.50,211.50,204.84,209.94,208.96,69277300,
07/09/2018,204.93,208.43,201.75,207.32,206.35,71208400,
07/02/2018,193.37,203.64,192.22,203.23,202.28,66875400,
06/25/2018,200.00,200.75,193.11,194.32,193.41,95891100,
06/18/2018,194.80,203.55,193.79,201.74,200.79,101516800,
06/11/2018,188.81,197.28,188.80,195.85,194.93,81327200,
06/04/2018,191.84,195.00,186.43,189.10,188.21,91223300,
05/28/2018,184.34,194.55,183.71,193.99,193.08,78225600,
05/21/2018,183.77,186.91,182.18,184.92,184.05,66212200,
05/14/2018,187.71,187.86,182.22,182.68,181.82,76022800,
05/07/2018,177.35,188.32,177.11,186.99,186.11,99836400,
04/30/2018,173.79,178.08,170.23,176.61,175.78,118904800,
04/23/2018,167.27,177.10,156.19,173.59,172.78,206613200,
04/16/2018,165.72,169.00,163.39,166.28,165.50,103186400,
04/09/2018,157.82,168.65,156.04,164.52,163.75,207202700,
04/02/2018,157.81,161.57,150.51,157.20,156.46,212319900,
03/26/2018,160.82,162.85,149.02,159.79,159.04,324697100,
03/19/2018,177.01,177.17,159.02,159.39,158.64,451943400,
03/12/2018,185.23,186.10,181.11,185.09,184.22,90208100,
03/05/2018,176.20,185.51,175.89,185.23,184.36,86125600,
02/26/2018,184.58,185.66,172.99,176.62,175.79,95460000,
02/19/2018,175.77,183.39,175.11,183.29,182.43,81877200,
02/12/2018,177.06,180.50,171.84,177.36,176.53,124398600,
02/05/2018,186.93,190.61,167.18,176.11,175.28,176854500,
01/29/2018,188.75,195.32,181.84,190.28,189.39,165475700,
01/22/2018,180.80,190.66,180.41,190.00,189.11,106209700,
01/15/2018,181.50,182.37,175.80,181.29,180.44,114307600,
01/08/2018,187.20,188.90,177.40,179.37,178.53,128057600,
01/01/2018,177.68,186.90,177.55,186.85,185.97,62493900,
12/25/2017,176.63,178.94,174.67,176.46,175.63,40875700,
12/18/2017,181.01,181.30,176.23,177.20,176.37,64156700,
12/11/2017,179.30,180.49,176.60,180.18,179.33,86692500,
12/04/2017,176.29,182.28,169.01,179.00,178.16,105188400,
11/27/2017,182.56,184.25,172.34,175.10,174.28,114147800,
11/20/2017,178.87,183.15,178.10,182.78,181.92,44359000,
11/13/2017,177.50,179.98,176.40,179.00,178.16,57988600,
11/06/2017,178.56,180.75,177.09,178.46,177.62,60415500,
10/30/2017,179.26,182.90,176.71,178.92,178.08,138797700,
10/23/2017,175.20,178.21,168.89,177.88,177.05,84107200,
10/16/2017,174.49,176.74,172.63,174.98,174.16,66891900,
10/09/2017,172.70,174.88,170.80,173.74,172.93,61204500,
10/02/2017,171.39,172.37,168.29,172.23,171.42,61415600,
09/25/2017,169.24,171.66,161.56,170.87,170.07,111376500,
09/18/2017,171.99,173.05,169.22,170.54,169.74,61645200,
09/11/2017,172.40,174.00,170.26,171.64,170.83,63953800,
09/04/2017,171.27,173.49,169.55,170.95,170.15,56165200,
08/28/2017,166.91,172.92,165.00,172.02,171.21,59717100,
08/21/2017,167.16,169.87,165.82,166.32,165.54,59799900,
